k;t;r;value
p16;36;1;0.0
p17;36;1;242.0
p18;36;1;0.0
p19;36;1;0.0
p20;36;1;0.0
p21;36;1;0.0
p22;36;1;0.0
p23;36;1;-0.0
p24;36;1;2453.0
p25;36;1;0.0
p26;36;1;0.0
p27;36;1;455.0
p28;36;1;0.0
p1;37;1;0.0
p2;37;1;0.0
p3;37;1;3.0
p4;37;1;0.0
p5;37;1;0.0
p6;37;1;0.0
p7;37;1;872.0
p8;37;1;0.0
p9;37;1;0.0
p10;37;1;0.0
p11;37;1;0.0
p12;37;1;0.0
p13;37;1;0.0
p14;37;1;0.0
p15;37;1;301.0
p16;37;1;1.0
p17;37;1;483.0
p18;37;1;0.0
p19;37;1;0.0
p20;37;1;0.0
p21;37;1;3034.0
p22;37;1;0.0
p23;37;1;-0.0
p24;37;1;306.0
p25;37;1;0.0
p26;37;1;0.0
p27;37;1;0.0
p28;37;1;0.0
p1;38;1;0.0
p2;38;1;0.0
p3;38;1;155.0
p4;38;1;0.0
p5;38;1;0.0
p6;38;1;0.0
p7;38;1;758.0
p8;38;1;0.0
p9;38;1;0.0
p10;38;1;0.0
p11;38;1;0.0
p12;38;1;0.0
p13;38;1;0.0
p14;38;1;0.0
p15;38;1;707.0
p16;38;1;0.0
p17;38;1;444.0
p18;38;1;0.0
p19;38;1;0.0
p20;38;1;0.0
p21;38;1;1216.0
p22;38;1;0.0
p23;38;1;-0.0
p24;38;1;1720.0
p25;38;1;0.0
p26;38;1;0.0
p27;38;1;0.0
p28;38;1;0.0
p1;39;1;0.0
p2;39;1;0.0
p3;39;1;108.0
p4;39;1;0.0
p5;39;1;0.0
p6;39;1;0.0
p7;39;1;746.0
p8;39;1;1.0
p9;39;1;0.0
p10;39;1;0.0
p11;39;1;0.0
p12;39;1;0.0
p13;39;1;0.0
p14;39;1;0.0
p15;39;1;643.0
p16;39;1;0.0
p17;39;1;408.0
p18;39;1;0.0
p19;39;1;0.0
p20;39;1;0.0
p21;39;1;1337.0
p22;39;1;0.0
p23;39;1;-0.0
p24;39;1;1757.0
p25;39;1;0.0
p26;39;1;0.0
p27;39;1;0.0
p28;39;1;0.0
p1;40;1;0.0
p2;40;1;0.0
p3;40;1;60.0
p4;40;1;0.0
p5;40;1;0.0
p6;40;1;0.0
p7;40;1;735.0
p8;40;1;0.0
p9;40;1;0.0
p10;40;1;0.0
p11;40;1;0.0
p12;40;1;0.0
p13;40;1;0.0
p14;40;1;0.0
p15;40;1;579.0
p16;40;1;1.0
p17;40;1;372.0
p18;40;1;0.0
p19;40;1;0.0
p20;40;1;0.0
p21;40;1;1731.0
p22;40;1;0.0
p23;40;1;-0.0
p24;40;1;1311.0
p25;40;1;0.0
p26;40;1;0.0
p27;40;1;211.0
p28;40;1;0.0
p1;41;1;0.0
p2;41;1;0.0
p3;41;1;34.0
p4;41;1;0.0
p5;41;1;0.0
p6;41;1;0.0
p7;41;1;732.0
p8;41;1;0.0
p9;41;1;0.0
p10;41;1;0.0
p11;41;1;0.0
p12;41;1;0.0
p13;41;1;0.0
p14;41;1;0.0
p15;41;1;537.0
p16;41;1;1.0
p17;41;1;356.0
p18;41;1;0.0
p19;41;1;0.0
p20;41;1;0.0
p21;41;1;1750.0
p22;41;1;0.0
p23;41;1;-0.0
p24;41;1;1302.0
p25;41;1;0.0
p26;41;1;0.0
p27;41;1;288.0
p28;41;1;0.0
p1;42;1;0.0
p2;42;1;0.0
p3;42;1;23.0
p4;42;1;1.0
p5;42;1;0.0
p6;42;1;0.0
p7;42;1;739.0
p8;42;1;0.0
p9;42;1;0.0
p10;42;1;0.0
p11;42;1;0.0
p12;42;1;0.0
p13;42;1;0.0
p14;42;1;0.0
p15;42;1;506.0
p16;42;1;0.0
p17;42;1;358.0
p18;42;1;0.0
p19;42;1;0.0
p20;42;1;0.0
p21;42;1;1781.0
p22;42;1;0.0
p23;42;1;-0.0
p24;42;1;1335.0
p25;42;1;0.0
p26;42;1;0.0
p27;42;1;257.0
p28;42;1;0.0
p1;43;1;0.0
p2;43;1;0.0
p3;43;1;164.0
p4;43;1;0.0
p5;43;1;0.0
p6;43;1;0.0
p7;43;1;274.0
p8;43;1;0.0
p9;43;1;0.0
p10;43;1;0.0
p11;43;1;0.0
p12;43;1;0.0
p13;43;1;0.0
p14;43;1;0.0
p15;43;1;321.0
p16;43;1;0.0
p17;43;1;451.0
p18;43;1;0.0
p19;43;1;0.0
p20;43;1;0.0
p21;43;1;2077.0
p22;43;1;0.0
p23;43;1;-0.0
p24;43;1;1082.0
p25;43;1;0.0
p26;43;1;0.0
p27;43;1;631.0
p28;43;1;0.0
p1;44;1;0.0
p2;44;1;0.0
p3;44;1;118.0
p4;44;1;0.0
p5;44;1;0.0
p6;44;1;0.0
p7;44;1;737.0
p8;44;1;0.0
p9;44;1;0.0
p10;44;1;0.0
p11;44;1;0.0
p12;44;1;0.0
p13;44;1;0.0
p14;44;1;0.0
p15;44;1;726.0
p16;44;1;0.0
p17;44;1;404.0
p18;44;1;0.0
p19;44;1;0.0
p20;44;1;0.0
p21;44;1;1622.0
p22;44;1;0.0
p23;44;1;-0.0
p24;44;1;1393.0
p25;44;1;0.0
p26;44;1;0.0
p27;44;1;0.0
p28;44;1;0.0
p1;45;1;0.0
p2;45;1;0.0
p3;45;1;83.0
p4;45;1;0.0
p5;45;1;0.0
p6;45;1;0.0
p7;45;1;714.0
p8;45;1;0.0
p9;45;1;0.0
p10;45;1;0.0
p11;45;1;0.0
p12;45;1;0.0
p13;45;1;0.0
p14;45;1;0.0
p15;45;1;662.0
p16;45;1;0.0
p17;45;1;362.0
p18;45;1;0.0
p19;45;1;0.0
p20;45;1;0.0
p21;45;1;1634.0
p22;45;1;0.0
p23;45;1;-0.0
p24;45;1;1545.0
