f;n;t;r;value
Entero;2;14;1;921.9999999999991
Medio Pollo;2;14;1;1021.5
Medio Pollo Superior;2;14;1;1258.8387096774195
Medio Pollo Inferior;2;14;1;1118.4193548387093
Cuarto de Pollo Superior;2;14;1;1460.032258064516
Muslo Entero;2;14;1;1305.6612903225805
Pechuga Completa;2;14;1;1876.9354838709678
Ala Completa;2;14;1;810.3870967741932
Media Pechuga;2;14;1;2175.0
Blanqueta;2;14;1;0.0
Alón;2;14;1;0.0
Punta;2;14;1;-1.8189894035458565e-12
Jamoncito;2;14;1;1095.311827956989
Medio Muslo;2;14;1;1955.9139784946228
Entero;2;15;1;924.0
Medio Pollo;2;15;1;1021.5
Medio Pollo Superior;2;15;1;1258.8387096774195
Medio Pollo Inferior;2;15;1;1118.4193548387093
Cuarto de Pollo Superior;2;15;1;1458.8709677419356
Muslo Entero;2;15;1;1304.82258064516
Pechuga Completa;2;15;1;1876.9354838709678
Ala Completa;2;15;1;810.3870967741932
Media Pechuga;2;15;1;2175.0
Blanqueta;2;15;1;0.0
Alón;2;15;1;0.0
Punta;2;15;1;-1.8189894035458565e-12
Jamoncito;2;15;1;1095.311827956989
Medio Muslo;2;15;1;1955.9139784946228
Entero;2;16;1;921.9999999999991
Medio Pollo;2;16;1;1022.5
Medio Pollo Superior;2;16;1;1258.8387096774195
Medio Pollo Inferior;2;16;1;1118.4193548387093
Cuarto de Pollo Superior;2;16;1;1458.8709677419356
Muslo Entero;2;16;1;1305.2419354838712
Pechuga Completa;2;16;1;1876.9354838709678
Ala Completa;2;16;1;810.4838709677415
Media Pechuga;2;16;1;2175.4838709677424
Blanqueta;2;16;1;0.0
Alón;2;16;1;0.0
Punta;2;16;1;-1.8189894035458565e-12
Jamoncito;2;16;1;1095.311827956989
Medio Muslo;2;16;1;1955.9139784946228
Entero;2;17;1;923.0
Medio Pollo;2;17;1;1022.0
Medio Pollo Superior;2;17;1;1258.8387096774195
Medio Pollo Inferior;2;17;1;1118.4193548387093
Cuarto de Pollo Superior;2;17;1;1458.8709677419356
Muslo Entero;2;17;1;1304.82258064516
Pechuga Completa;2;17;1;1876.9354838709678
Ala Completa;2;17;1;810.4354838709678
Media Pechuga;2;17;1;2175.241935483871
Blanqueta;2;17;1;0.0
Alón;2;17;1;0.0
Punta;2;17;1;-1.8189894035458565e-12
Jamoncito;2;17;1;1095.3870967741932
Medio Muslo;2;17;1;1956.0483870967737
Entero;2;18;1;923.0
Medio Pollo;2;18;1;1022.0
Medio Pollo Superior;2;18;1;1258.8387096774195
Medio Pollo Inferior;2;18;1;1118.4193548387093
Cuarto de Pollo Superior;2;18;1;1458.8709677419356
Muslo Entero;2;18;1;1305.032258064516
Pechuga Completa;2;18;1;1876.9354838709678
Ala Completa;2;18;1;810.4354838709678
Media Pechuga;2;18;1;2175.241935483871
Blanqueta;2;18;1;0.0
Alón;2;18;1;0.0
Punta;2;18;1;0.0
Jamoncito;2;18;1;1095.311827956989
Medio Muslo;2;18;1;1955.9139784946228
Entero;2;19;1;921.9999999999991
Medio Pollo;2;19;1;1021.5
Medio Pollo Superior;2;19;1;1258.8387096774195
Medio Pollo Inferior;2;19;1;1118.8387096774195
Cuarto de Pollo Superior;2;19;1;1459.4516129032254
Muslo Entero;2;19;1;1305.2419354838703
Pechuga Completa;2;19;1;1877.4193548387102
Ala Completa;2;19;1;810.4838709677415
Media Pechuga;2;19;1;2175.0
Blanqueta;2;19;1;0.0
Alón;2;19;1;0.0
Punta;2;19;1;0.0
Jamoncito;2;19;1;1095.311827956989
Medio Muslo;2;19;1;1955.9139784946228
Entero;2;20;1;921.0
Medio Pollo;2;20;1;1022.0
Medio Pollo Superior;2;20;1;1259.4193548387102
Medio Pollo Inferior;2;20;1;1118.8387096774195
Cuarto de Pollo Superior;2;20;1;1458.8709677419356
Muslo Entero;2;20;1;1305.032258064516
Pechuga Completa;2;20;1;1877.4193548387102
Ala Completa;2;20;1;810.5322580645161
Media Pechuga;2;20;1;2175.241935483871
Blanqueta;2;20;1;0.0
Alón;2;20;1;0.0
Punta;2;20;1;1.8189894035458565e-12
Jamoncito;2;20;1;1095.4623655913983
Medio Muslo;2;20;1;1956.1827956989246
Entero;2;21;1;921.0
Medio Pollo;2;21;1;1022.0
Medio Pollo Superior;2;21;1;1259.4193548387102
Medio Pollo Inferior;2;21;1;1118.8387096774195
Cuarto de Pollo Superior;2;21;1;1458.8709677419356
Muslo Entero;2;21;1;1305.4516129032263
Pechuga Completa;2;21;1;1877.4193548387102
Ala Completa;2;21;1;810.5322580645161
Media Pechuga;2;21;1;2175.241935483871
Blanqueta;2;21;1;0.0
Alón;2;21;1;0.0
Punta;2;21;1;-1.8189894035458565e-12
Jamoncito;2;21;1;1095.311827956989
Medio Muslo;2;21;1;1955.9139784946228
Entero;2;22;1;920.0
Medio Pollo;2;22;1;1022.5
Medio Pollo Superior;2;22;1;1258.8387096774195
Medio Pollo Inferior;2;22;1;1118.8387096774195
Cuarto de Pollo Superior;2;22;1;1459.4516129032254
Muslo Entero;2;22;1;1305.4516129032263
Pechuga Completa;2;22;1;1877.4193548387102
Ala Completa;2;22;1;810.5806451612916
Media Pechuga;2;22;1;2175.4838709677424
Blanqueta;2;22;1;0.0
