f;n;t;r;value
Alón;2;27;1;113.42207124453326
Punta;2;27;1;117.86876995022749
Jamoncito;2;27;1;94.79700438297074
Medio Muslo;2;27;1;72.6861394900785
Entero;2;28;1;59.496759161383665
Medio Pollo;2;28;1;61.5589046923109
Medio Pollo Superior;2;28;1;61.527476563301114
Medio Pollo Inferior;2;28;1;67.57424831378805
Cuarto de Pollo Superior;2;28;1;65.68011626806494
Muslo Entero;2;28;1;72.00823559160625
Pechuga Completa;2;28;1;65.86105108964317
Ala Completa;2;28;1;94.1574831195182
Media Pechuga;2;28;1;72.23450998418338
Blanqueta;2;28;1;108.8027173872651
Alón;2;28;1;113.42207124453327
Punta;2;28;1;117.86876995022749
Jamoncito;2;28;1;94.79700438297074
Medio Muslo;2;28;1;72.6861394900785
Entero;3;15;1;59.01315701399348
Medio Pollo;3;15;1;61.075996704866945
Medio Pollo Superior;3;15;1;61.217880599138454
Medio Pollo Inferior;3;15;1;66.85214372939626
Cuarto de Pollo Superior;3;15;1;65.37063253435318
Muslo Entero;3;15;1;71.28524606303208
Pechuga Completa;3;15;1;65.51981646905766
Ala Completa;3;15;1;94.00560318934663
Media Pechuga;3;15;1;71.89577104469019
Blanqueta;3;15;1;108.5939020371023
Alón;3;15;1;113.34712871620827
Punta;3;15;1;117.85177652850412
Jamoncito;3;15;1;94.17018461602288
Medio Muslo;3;15;1;71.91003116619876
Entero;3;16;1;59.01315701399348
Medio Pollo;3;16;1;61.075996704866945
Medio Pollo Superior;3;16;1;61.217880599138454
Medio Pollo Inferior;3;16;1;66.85214372939626
Cuarto de Pollo Superior;3;16;1;65.37063253435318
Muslo Entero;3;16;1;71.28524606303208
Pechuga Completa;3;16;1;65.51981646905766
Ala Completa;3;16;1;94.00560318934663
Media Pechuga;3;16;1;71.89577104469019
Blanqueta;3;16;1;108.5939020371023
Alón;3;16;1;113.34712871620827
Punta;3;16;1;117.8517765285041
Jamoncito;3;16;1;94.17018461602287
Medio Muslo;3;16;1;71.91003116619876
Entero;3;17;1;59.01315701399348
Medio Pollo;3;17;1;61.075996704866945
Medio Pollo Superior;3;17;1;61.217880599138454
Medio Pollo Inferior;3;17;1;66.85214372939626
Cuarto de Pollo Superior;3;17;1;65.37063253435318
Muslo Entero;3;17;1;71.28524606303208
Pechuga Completa;3;17;1;65.51981646905766
Ala Completa;3;17;1;94.00560318934663
Media Pechuga;3;17;1;71.89577104469019
Blanqueta;3;17;1;108.5939020371023
Alón;3;17;1;113.34712871620827
Punta;3;17;1;117.8517765285041
Jamoncito;3;17;1;94.17018461602287
Medio Muslo;3;17;1;71.91003116619876
Entero;3;18;1;59.01315701399348
Medio Pollo;3;18;1;61.07599670486693
Medio Pollo Superior;3;18;1;61.217880599138454
Medio Pollo Inferior;3;18;1;66.85214372939626
Cuarto de Pollo Superior;3;18;1;65.37063253435318
Muslo Entero;3;18;1;71.28524606303208
