t;r;value
60;6;1281595.9454956385
61;6;1258797.6830038016
62;6;1293361.314054145
63;6;1145881.2041172397
64;6;1162745.327292471
65;6;1325184.8288599271
66;6;1128345.7074371695
67;6;1204400.289811689
68;6;1400444.428301758
69;6;1110623.6468830558
70;6;1115979.7803620095
71;6;1268195.3824057905
72;6;1216064.718010504
73;6;1087296.5904449436
74;6;1333819.121830678
75;6;1259897.5903490102
76;6;1257534.3386970165
77;6;1195574.4468587118
78;6;1282452.7107264558
79;6;1057365.309808501
80;6;1293660.5954174756
81;6;1288338.8400025198
82;6;1069708.496087205
83;6;1226161.2131273714
84;6;1066136.526422548
85;6;1305053.6019970914
86;6;1195769.9635891628
87;6;1259894.2702726906
88;6;1283201.3266982492
89;6;1281678.9240551468
90;6;1199601.4191936024
91;6;1302014.604014313
92;6;1215645.368783926
93;6;1267558.353499506
94;6;1215189.9142363414
95;6;1192660.8624850903
96;6;1185306.2468584105
97;6;1307014.892965537
98;6;1330325.5748123613
99;6;1201615.9445455747
100;6;1387189.3883077423
101;6;1245595.2476147811
102;6;1252889.432337654
103;6;1151083.6194087442
104;6;1316366.0688097589
105;6;1167883.8343221787
106;6;1308827.6622136894
107;6;1293837.59750776
108;6;1033202.5754012899
109;6;1159808.1133957608
110;6;1268997.2256578465
111;6;1191640.7687384924
112;6;1379411.782814488
113;6;1286551.0363396215
114;6;1211187.4465999645
115;6;1273000.9716814992
116;6;1359609.9404047718
117;6;1180402.2927089161
118;6;1286096.1951144752
119;6;1247867.0713676333
120;6;1235855.7983547756
121;6;1299533.5200300228
122;6;1429620.4794932876
123;6;1184346.1337597114
124;6;1076857.8699475883
125;6;1246636.0115300845
126;6;1053725.288679319
127;6;1401741.217188939
128;6;1325231.619404895
129;6;1097083.5025496786
130;6;1418271.3252105815
131;6;1275890.7330985847
132;6;1040189.740317316
133;6;1359966.7319572777
134;6;1302361.2255819365
135;6;1217984.177280083
136;6;1295216.046807188
137;6;1010483.2477037332
138;6;1180098.8543764486
139;6;960158.2520075864
140;6;1315206.5733276734
141;6;1304908.7459715144
142;6;1221098.2795534937
143;6;1218097.1542394601
144;6;1262354.8994198714
145;6;1169107.7594355748
146;6;1290654.0019111792
147;6;1211812.8714807765
148;6;1202574.4030289585
149;6;1402838.7599782941
150;6;1285026.021261737
151;6;1206932.6710136037
152;6;1268246.8936602254
153;6;1353360.717320081
154;6;1199635.7405601558
155;6;1287668.561473696
156;6;1399516.7860793488
157;6;1388198.763920567
158;6;1149436.4361053575
159;6;952532.5630354362
160;6;1190407.8546457002
161;6;1259447.9321203625
162;6;1355935.3257789952
163;6;1391184.2479040911
164;6;1101872.6643664157
165;6;988864.2472108142
166;6;1213380.4786131915
167;6;1175655.23201454
168;6;1495089.8856552811
1;7;1089450.7286483166
2;7;1070601.6110322187
3;7;1203218.5482073766
4;7;1143780.3678761106
5;7;1130181.4943362502
6;7;1083276.750997352
7;7;1220839.3329263285
8;7;1316386.286501448
9;7;1214547.3208231928
10;7;1281675.2981857646
11;7;1412785.6506298531
12;7;1304214.3128068289
13;7;1328723.8012351436
14;7;1173996.2991475551
15;7;1152736.8985493248
16;7;1368937.5981913968
17;7;1275143.649526174
18;7;1382932.1334153302
19;7;1214762.8063821706
20;7;1238730.765441837
21;7;1132075.550660745
22;7;1336226.2778671475
23;7;1381439.30362266
24;7;1296638.1166108241
25;7;1182223.6975211992
26;7;1235128.6962909473
27;7;1109629.6238307138
28;7;1276346.6785743337
29;7;1170626.0398692854
30;7;1169599.99169365
31;7;1249007.5985739713
32;7;1426423.6460046938
33;7;1143370.435391333
34;7;1195881.306621479
35;7;1177389.319701495
36;7;1286418.9303841658
37;7;1259711.9600070785
38;7;1109608.6081266745
39;7;1235367.901182389
40;7;1230457.4879480174
41;7;1197287.126744497
42;7;1233059.323019491
43;7;1208931.1694059435
44;7;1173347.9058127678
45;7;1372933.1010850964
46;7;1183945.3810529446
47;7;1195196.2608891742
48;7;1157580.8403262503
49;7;1198192.0296478043
50;7;1258750.1658871202
51;7;1352951.36184321
52;7;1191563.3926382272
53;7;1350892.3923205284
54;7;1291131.691101356
55;7;1356600.1995602257
56;7;1272547.2618260048
57;7;1260786.4820262343
58;7;1184821.4209651807
59;7;1293230.3639204586
60;7;1045769.5484321119
61;7;1272095.507909656
62;7;1293648.3747250827
63;7;1317968.239839639
64;7;1241019.65545861
65;7;1340478.7702556704
66;7;1354242.4077660441
67;7;1138791.207698466
68;7;1208261.377107105
69;7;1140334.3800616132
70;7;1287764.068933182
71;7;1339988.9079074874
72;7;1348691.8954595537
73;7;1275064.3976132201
74;7;1039782.0010187723
75;7;1396080.7564611742
76;7;1389900.6577959615
77;7;1072852.84489272
78;7;1270003.4335030608
79;7;1238664.7808896946
80;7;1228740.5963208945
81;7;1162028.0876765933
82;7;1380500.3434312034
83;7;1131477.2641962878
84;7;1182412.3144945418
85;7;1322295.7641124448
86;7;1284439.0825031255
87;7;1198858.789450101
